	pseudotime	branches	scalings
cell_0	0.0	0.0	0.8092401978790404
cell_1	0.0	0.0	1.7393208264254651
cell_2	0.0	0.0	0.22410452809481785
cell_3	0.0	0.0	0.37069300123723753
cell_4	1.0	0.0	3.4410607510134024
cell_5	1.0	0.0	4.23133383955503
cell_6	1.0	0.0	0.3681514710884443
cell_7	1.0	0.0	0.6703913067747542
cell_8	2.0	0.0	0.24724370922565211
cell_9	2.0	0.0	3.8662191689703675
cell_10	2.0	0.0	2.262921009562788
cell_11	2.0	0.0	0.4331927713219278
cell_12	3.0	0.0	1.901520469650542
cell_13	3.0	0.0	7.291833980672698
cell_14	3.0	0.0	0.9415414822399958
cell_15	3.0	0.0	0.3048630177776811
cell_16	4.0	0.0	1.27275320525107
cell_17	4.0	0.0	1.960441625887905
cell_18	4.0	0.0	0.42109497823489717
cell_19	4.0	0.0	0.9721526611735485
cell_20	5.0	0.0	2.45180422005443
cell_21	5.0	0.0	0.3320311774670154
cell_22	5.0	0.0	0.9700566188290871
cell_23	5.0	0.0	4.838929079152751
cell_24	6.0	0.0	8.682285532541313
cell_25	6.0	0.0	1.2452184146632512
cell_26	6.0	0.0	0.3365667691306773
cell_27	6.0	0.0	1.7664853576609119
cell_28	7.0	0.0	0.6699525783418143
cell_29	7.0	0.0	0.37524968399847347
cell_30	7.0	0.0	0.8763739635083011
cell_31	7.0	0.0	0.29283622585260743
cell_32	8.0	0.0	0.26916281235506795
cell_33	8.0	0.0	0.4764344556237146
cell_34	8.0	0.0	0.2991503016438735
cell_35	8.0	0.0	1.4567200198360848
cell_36	9.0	0.0	1.3033099316573606
cell_37	9.0	0.0	0.45503734239574284
cell_38	9.0	0.0	0.5043822673731962
cell_39	9.0	0.0	0.9432272480357944
cell_40	10.0	0.0	1.8617306074033733
cell_41	10.0	0.0	4.784385717247301
cell_42	10.0	0.0	0.6328114553566586
cell_43	10.0	0.0	3.5495747347599433
cell_44	11.0	0.0	2.591292404432626
cell_45	11.0	0.0	0.36235171097796354
cell_46	11.0	0.0	1.6765958067166515
cell_47	11.0	0.0	0.34209891871913034
cell_48	12.0	0.0	1.380644543993972
cell_49	12.0	0.0	0.8384733373462414
cell_50	12.0	0.0	1.1101457152037026
cell_51	12.0	0.0	0.4558634208912233
cell_52	13.0	0.0	0.8913329484903952
cell_53	13.0	0.0	0.8229090579130831
cell_54	13.0	0.0	2.4406972924149564
cell_55	13.0	0.0	1.8155501024912934
cell_56	14.0	0.0	0.2023713293568927
cell_57	14.0	0.0	0.2045645470253183
cell_58	14.0	0.0	1.3490950199889542
